ticket_type,iteration,remaining_pct,psnr_db
winner,1,100.0,47.2897
winner,2,80.0,46.7485
winner,3,64.0,46.0048
winner,4,51.2,44.8965
winner,5,41.0,43.1529
winner,6,32.8,41.9001
winner,7,26.2,40.7621
winner,8,21.0,39.5306
winner,9,16.8,38.3638
winner,10,13.4,37.4336
winner,11,10.7,36.4858
winner,12,8.6,35.8401
winner,13,6.9,35.2580
winner,14,5.5,34.6804
winner,15,4.4,34.2725
winner,16,3.5,33.6860
winner,17,2.8,33.2437
winner,18,2.3,32.7340
random,1,100.0,47.5397
random,2,80.0,44.1424
random,3,64.0,41.8654
random,4,51.2,39.9245
random,5,41.0,38.3334
random,6,32.8,37.3639
random,7,26.2,36.2092
random,8,21.0,35.3756
random,9,16.8,34.7823
random,10,13.4,33.7906
random,11,10.7,33.3270
random,12,8.6,32.4807
random,13,6.9,31.6060
random,14,5.5,30.5611
random,15,4.4,29.2419
random,16,3.5,27.2205
random,17,2.8,24.4073
random,18,2.3,23.6423
loser,1,100.0,47.6198
loser,2,80.0,29.3128
loser,3,64.0,11.4639
loser,4,51.2,11.3234
loser,5,41.0,11.3234
loser,6,32.8,11.3234
loser,7,26.2,11.3234
loser,8,21.0,11.3234
loser,9,16.8,11.3234
loser,10,13.4,11.3234
loser,11,10.7,11.3234
loser,12,8.6,11.3234
loser,13,6.9,11.3234
loser,14,5.5,11.3234
loser,15,4.4,11.3234
loser,16,3.5,11.3234
loser,17,2.8,11.3234
loser,18,2.3,11.3234
winner,19,1.8,32.3242
winner,20,1.4,30.3897
winner,21,1.2,29.1825
random,19,1.8,21.2047
random,20,1.4,13.5680
random,21,1.2,12.9015
loser,19,1.8,11.9017
loser,20,1.4,11.9017
loser,21,1.2,11.9017